currency_code,setting_key,currency_name,bed_day_price_gbp,additional_notes
MBU98Z,unclassified,Other/Unclassified - Inpatient,580.82,
MBU98A,acute_picu,Other/Unclassified - Inpatient - Acute & PICU,624.17,Unit cost based on setting average
MBU98B,rehab,Other/Unclassified - Inpatient - Rehab,477.14,Unit cost based on setting average
MBU98C,specialist,Other/Unclassified - Inpatient - Specialist,1513.23,Unit cost based on setting average
MBU98D,forensic,Other/Unclassified - Inpatient - Forensic,,Specialised service - out of scope in NCC; model falls back to MBU98Z price
